Activity Period,Passenger Count,GEO Summary
201806,2046234,Domestic
201803,1804536,Domestic
201812,609867,International
201801,489356,International
201811,1699995,Domestic
201804,1804175,Domestic
201805,1892932,Domestic
201807,681562,International
201802,1478679,Domestic
201808,2065900,Domestic
201810,1831214,Domestic
201809,582101,International
201812,1726226,Domestic
201801,1527281,Domestic
201803,547674,International
201806,717551,International
201802,458310,International
201810,598862,International
201808,674457,International
201809,1720818,Domestic
201811,545918,International
201804,514505,International
201807,2097945,Domestic
201805,620193,International
