Terminal,Activity Period,Passenger Count
Terminal 1,201206,495371
Terminal 3,201107,701022
Terminal 3,201509,785455
International,201209,465678
Terminal 2,201302,231707
Terminal 3,200807,767543
Terminal 2,201311,267426
Terminal 2,201503,288276
Terminal 3,200701,655961
International,200908,467581
Terminal 2,201505,299777
Terminal 3,200606,792850
International,201308,552258
Terminal 2,201410,290666
Terminal 1,200903,399821
Terminal 3,201010,745217
International,201401,427891
Terminal 1,201403,512844
International,200607,347265
Terminal 1,201612,417720
Terminal 3,201009,726993
Terminal 1,201507,488807
Terminal 2,201709,411602
International,200602,294367
International,201812,653136
Terminal 1,201707,490798
International,201407,553323
Terminal 1,201006,547946
Terminal 3,201008,792594
Terminal 1,201703,398162
Terminal 1,201502,310041
Terminal 3,200809,691373
Terminal 2,201201,249715
Terminal 2,201710,421744
International,200706,387999
Terminal 1,200905,479138
Terminal 2,201312,294631
International,200901,368895
Terminal 2,201405,303088
Terminal 3,200609,735931
Terminal 3,200801,608462
Terminal 3,201202,574788
Terminal 1,201207,536384
Terminal 2,201212,279066
Terminal 1,201607,484708
International,201108,457190
Terminal 2,201504,291763
International,201512,596252
Terminal 1,201705,441448
International,201501,488159
Terminal 2,201110,272122
Terminal 3,201406,801917
Terminal 3,200711,712410
Terminal 2,201810,416057
Terminal 1,201809,386076
Terminal 3,200912,670637
Terminal 3,200707,830133
Terminal 3,201111,636987
International,201603,579171
Terminal 1,201208,540418
Terminal 3,200705,800720
Terminal 1,200812,414874
Terminal 2,201408,311519
International,201409,520797
Terminal 1,200702,268565
Terminal 2,201702,236655
Terminal 1,201104,473954
Terminal 2,201802,396489
International,200806,480472
Terminal 1,201610,449969
Terminal 3,201004,715343
Terminal 2,201412,292423
Terminal 3,201712,913435
International,201201,402049
Terminal 3,201705,879029
Terminal 1,201406,504234
International,201710,657994
Terminal 2,201407,310933
International,201709,644915
Terminal 3,200905,702025
Terminal 2,201812,419881
Terminal 1,201202,314062
Terminal 3,201207,733373
International,201005,488296
Terminal 3,201607,953273
Terminal 1,200609,335259
Terminal 1,200801,329862
International,201410,525931
Terminal 3,201104,598494
Terminal 2,201308,315631
Terminal 2,201401,248157
Terminal 1,201712,399919
Terminal 3,201610,854327
Terminal 1,201004,431335
Terminal 1,200912,451926
Terminal 1,200707,468050
Terminal 1,201111,402307
Terminal 2,201209,290109
Terminal 3,201208,763936
International,201302,355544
Terminal 1,200705,381436
Terminal 1,200711,391809
Terminal 3,201809,904583
Terminal 3,200702,627803
International,201505,643316
Terminal 3,200812,658609
International,201311,428160
International,201503,545973
International,200704,304799
Terminal 3,200903,681533
Terminal 1,200606,377636
International,201802,516611
International,200911,404429
Terminal 3,201403,643637
International,201412,533484
Terminal 3,201612,813033
Terminal 1,201009,510849
Terminal 1,201010,524219
Terminal 2,201603,325678
Terminal 3,201206,734091
International,201810,643164
Terminal 1,201107,497964
Terminal 1,201509,420271
Terminal 1,200701,277204
International,201702,520378
Terminal 1,200807,533370
International,201408,581589
Terminal 2,201409,281992
Terminal 1,200809,413262
International,201504,548110
Terminal 2,201512,317000
International,200712,403550
Terminal 2,201501,252948
Terminal 3,201502,613074
International,200605,383548
Terminal 2,201108,284713
International,200907,475210
International,201110,429551
International,200610,326429
International,201312,471580
Terminal 3,201707,1047569
International,201405,531572
Terminal 3,201507,879700
International,201212,432318
Terminal 3,201703,853260
Terminal 3,201006,780187
Terminal 1,201008,561681
International,200608,328356
Terminal 3,201704,835089
International,200804,397226
Terminal 3,201012,676682
Terminal 3,201609,848799
Terminal 2,201701,272091
International,201205,501826
International,201304,419026
Terminal 1,200803,417401
Terminal 3,201411,708729
International,201611,598590
Terminal 3,201303,590779
Terminal 3,201001,599776
Terminal 2,201806,484764
Terminal 3,200810,713790
Terminal 2,201210,290424
Terminal 1,200710,422485
Terminal 2,201708,433840
International,201605,656255
Terminal 3,201808,1118312
International,200902,315866
International,200904,395806
Terminal 3,200708,847991
Terminal 1,201402,399245
Terminal 3,201811,885918
Terminal 2,201602,270684
Terminal 3,200910,709138
International,200601,335833
International,201706,764510
Terminal 1,201511,414648
International,200603,355408
International,200611,300303
Terminal 3,201112,664745
International,201508,682979
International,201801,548500
Terminal 1,201307,543570
Terminal 2,201310,298100
Terminal 2,201305,302049
Terminal 1,201601,346398
Terminal 3,201608,964494
Terminal 3,201711,904077
Terminal 3,201804,910610
Terminal 1,201103,450286
Terminal 3,200909,708082
Terminal 1,201606,481825
Terminal 3,201211,564190
Terminal 1,201807,473254
Terminal 3,201105,614565
International,201007,516419
Terminal 2,201805,468831
International,201506,689255
International,201011,442735
